ID,Name,Description,Price,Duration,Location
1,Đại Nội Huế,"Đại Nội Huế là trung tâm quyền lực của triều Nguyễn – triều đại phong kiến cuối cùng của Việt Nam. Đây là quần thể kiến trúc bao gồm Hoàng thành và Tử Cấm Thành, được UNESCO công nhận là Di sản Văn hóa Thế giới. Bên trong là nơi làm việc và sinh sống của vua, hoàng hậu và hoàng tộc. Du khách có thể chiêm ngưỡng Ngọ Môn, điện Thái Hòa, Hiển Lâm Các, Thế Miếu cùng nhiều hiện vật giá trị. Không gian nơi đây mang đậm vẻ cổ kính, huy hoàng và lặng lẽ, đưa người tham quan trở về thời vàng son của một triều đại đã qua.","150.000 VND (người lớn), 30.000 VND (trẻ em)",7:00 – 17:30,"Đường 23/8, TP. Huế"
2,Lăng Tự Đức,"Lăng Tự Đức (Khiêm Lăng) được xây dựng từ năm 1864 đến 1867, là nơi an nghỉ của vua Tự Đức – một trong những vị vua uyên bác, thi sĩ của triều Nguyễn. Lăng được bao quanh bởi hồ nước, rừng thông và các công trình kiến trúc cổ kính như Khiêm Cung Môn, Lương Khiêm Đường. Không gian nơi đây rất thơ mộng, hài hòa giữa thiên nhiên và con người. Lăng Tự Đức không chỉ là nơi yên nghỉ của nhà vua mà còn là biểu tượng cho tinh thần thi ca và sự suy ngẫm của một bậc quân vương.",150.000 VND,7:00 – 17:30,"Thôn Thượng Ba, Thủy Xuân, TP. Huế"
3,Lăng Minh Mạng,"Lăng Minh Mạng (Hiếu Lăng) được xem là một trong những lăng tẩm đẹp và quy mô nhất của triều Nguyễn. Nơi đây mang kiến trúc đối xứng hoàn hảo, thể hiện tư tưởng “thiên – địa – nhân” hài hòa. Khuôn viên rộng lớn gồm hơn 40 công trình lớn nhỏ như Hiếu Đức Môn, Minh Lâu, Tẩm điện… tất cả được bao quanh bởi rừng cây xanh mát, hồ sen và đồi núi. Lăng là nơi yên nghỉ của vua Minh Mạng – vị vua có công lớn trong việc xây dựng thể chế nhà Nguyễn.",150.000 VND,7:00 – 17:30,"Xã Hương Thọ, Hương Trà, TP. Huế"
4,Lăng Khải Định,"Lăng Khải Định (Ứng Lăng) là công trình kết hợp giữa kiến trúc phương Đông và phương Tây. Đây là lăng tẩm của vua Khải Định – vị vua thứ 12 của triều Nguyễn. Lăng được xây dựng công phu với nhiều loại vật liệu nhập khẩu từ Pháp, Ấn Độ, Trung Quốc... và có lối trang trí khảm sành sứ cầu kỳ. Điểm nổi bật là điện Khải Thành với tượng vua bằng đồng đúc ở Pháp. Lăng tuy nhỏ nhưng cực kỳ độc đáo và khác biệt so với các lăng khác ở Huế.",150.000 VND,7:00 – 17:30,"Xã Thủy Bằng, Hương Thủy, TP. Huế"
5,Chùa Thiên Mụ,"Chùa Thiên Mụ (Linh Mụ Tự) được xây dựng từ năm 1601, là biểu tượng tâm linh và văn hóa của xứ Huế. Nổi bật với tháp Phước Duyên cao 21m, chùa tọa lạc trên đồi Hà Khê, bên dòng sông Hương thơ mộng. Ngoài vẻ đẹp cổ kính, chùa còn lưu giữ nhiều hiện vật quý như chiếc xe ô tô của Hòa thượng Thích Quảng Đức và các tượng Phật cổ. Đây là điểm đến linh thiêng, thanh tịnh và lý tưởng để tịnh tâm, chiêm bái.",Miễn phí,6:00 – 18:00,"Đường Nguyễn Phúc Nguyên, TP. Huế"
6,Sông Hương,"Sông Hương là dòng sông thơ mộng chảy qua trung tâm TP. Huế, gắn liền với nhiều bài thơ, bài ca và nét đẹp văn hóa của vùng đất cố đô. Du khách có thể đi thuyền rồng ngắm hoàng hôn, nghe ca Huế trên sông, hoặc dạo bộ bên bờ sông. Các cây cầu như Trường Tiền, Dã Viên cũng là điểm chụp ảnh lý tưởng. Sông Hương không chỉ đẹp mà còn chứa đựng linh hồn của Huế – nhẹ nhàng, sâu lắng và đầy chất thơ.",Miễn phí (hoặc phí thuê thuyền 100.000 – 200.000 VND),Tự do,Trung tâm TP. Huế
7,Cầu Trường Tiền,"Là cây cầu biểu tượng bắc qua sông Hương, Cầu Trường Tiền được xây dựng năm 1899 bởi người Pháp. Với kiến trúc vòm thép, cầu mang nét cổ điển và là nơi lý tưởng để ngắm cảnh sông Hương, đặc biệt là vào lúc hoàng hôn. Vào các dịp lễ, cầu được trang hoàng bằng hệ thống đèn LED rực rỡ, thu hút rất nhiều du khách và nhiếp ảnh gia.",Miễn phí,Tự do,"Phường Phú Hội – Phú Cát, TP. Huế"
8,Chợ Đông Ba,"Là khu chợ lớn nhất và lâu đời nhất của Huế, Chợ Đông Ba không chỉ là trung tâm buôn bán sầm uất mà còn là nơi lưu giữ nét văn hóa đặc trưng của người dân cố đô. Du khách đến đây có thể thưởng thức các món ăn đặc sản như bún bò Huế, bánh bèo, bánh lọc... và mua các mặt hàng thủ công, quà lưu niệm độc đáo.",Miễn phí,6:00 – 18:00,"Đường Trần Hưng Đạo, TP. Huế"
9,Đồi Vọng Cảnh,"Đồi Vọng Cảnh là nơi lý tưởng để ngắm nhìn toàn cảnh sông Hương và thành phố Huế từ trên cao. Nơi đây từng là điểm đến yêu thích của các vua chúa nhà Nguyễn. Với không gian yên bình, rừng thông rì rào, và tầm nhìn thoáng đãng, đồi Vọng Cảnh là nơi lý tưởng để thư giãn, chụp ảnh và tận hưởng không khí trong lành.",Miễn phí,Tự do,"Gần lăng Tự Đức, TP. Huế"
10,Cung An Định,"Cung An Định là dinh thự riêng của vua Khải Định trước khi lên ngôi, nổi bật với kiến trúc pha trộn giữa phong cách châu Âu và truyền thống Việt Nam. Dù nhỏ hơn so với Đại Nội, cung vẫn toát lên vẻ sang trọng, tinh tế với các họa tiết trang trí cầu kỳ và không gian xanh mát. Đây là bối cảnh trong nhiều bộ phim nổi tiếng và là điểm đến thu hút du khách yêu nghệ thuật.",50.000 VND,7:00 – 17:30,"179B Phan Đình Phùng, TP. Huế"
11,Văn Miếu - Quốc Tử Giám,"Văn Miếu – Quốc Tử Giám là quần thể di tích lịch sử và văn hóa quan trọng, được xây dựng vào năm 1070 dưới triều vua Lý Thánh Tông. Ban đầu, nơi đây được lập ra để thờ Khổng Tử – nhà tư tưởng vĩ đại của Trung Hoa. Đến năm 1076, vua Lý Nhân Tông cho thành lập Quốc Tử Giám – trường đại học đầu tiên của Việt Nam, dành cho con em quý tộc và những người có học vấn cao. Khuôn viên Văn Miếu rộng khoảng 54.000 m², gồm nhiều công trình kiến trúc cổ kính như cổng Văn Miếu, Đại Trung Môn, Khuê Văn Các, nhà Thái Học và các bia tiến sĩ được đặt trên lưng rùa đá. Đặc biệt, Khuê Văn Các – biểu tượng của Hà Nội – được xây dựng vào năm 1805, là một công trình kiến trúc độc đáo với lối thiết kế tinh tế, thể hiện sự tôn vinh tri thức và văn hóa.",30.000 VND,7:30 – 17:30,"58 Quốc Tử Giám, Đống Đa, Hà Nội"
12,Hồ Hoàn Kiếm,"Hồ Hoàn Kiếm, hay còn gọi là Hồ Gươm, nằm ở trung tâm thủ đô Hà Nội, được xem là trái tim của thành phố. Bao quanh hồ là các con phố cổ kính, cây xanh rợp bóng và các công trình kiến trúc mang đậm dấu ấn lịch sử.",Miễn phí,Tự do,"Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội"
13,Lăng Chủ tịch Hồ Chí Minh,"Lăng Chủ tịch Hồ Chí Minh, thường được gọi là Lăng Bác, là nơi an nghỉ vĩnh hằng của Chủ tịch Hồ Chí Minh – vị lãnh tụ vĩ đại của dân tộc Việt Nam. Nằm tại Quảng trường Ba Đình, nơi Bác Hồ đã đọc Tuyên ngôn Độc lập vào ngày 2/9/1945, lăng được khởi công xây dựng vào ngày 2/9/1973 và khánh thành vào ngày 29/8/1975. Công trình có kiến trúc độc đáo với ba lớp, chiều cao 21,6 mét và chiều rộng 41,2 mét, sử dụng chất liệu đá granite xám bên ngoài và đá xám đỏ đánh bóng bên trong. Lăng không chỉ là nơi gìn giữ thi hài của Bác mà còn là biểu tượng của lòng biết ơn và tôn kính của nhân dân Việt Nam đối với Người.",Miễn phí,"7:30 – 10:30 (sáng), nghỉ thứ 2 và thứ 6","Số 2 Hùng Vương, Ba Đình, Hà Nội"
14,Phố cổ Hà Nội,"Khu phố cổ Hà Nội gồm 36 phố phường, mỗi phố chuyên kinh doanh một mặt hàng truyền thống. Nơi đây lưu giữ nét kiến trúc cổ kính và là trung tâm văn hóa, thương mại sầm uất.",Miễn phí,Tự do,"Quận Hoàn Kiếm, Hà Nội"
15,Nhà thờ Lớn Hà Nội,"Nhà hát Lớn Hà Nội là công trình kiến trúc tiêu biểu, nơi tổ chức các chương trình nghệ thuật lớn. Với kiến trúc Pháp cổ điển, đây là điểm đến văn hóa hấp dẫn.",Miễn phí,Tự do,"40 Nhà Chung, Hoàn Kiếm, Hà Nội"
16,Chùa Trấn Quốc,"Chùa Trấn Quốc là ngôi chùa cổ nhất Hà Nội, nằm bên Hồ Tây. Với kiến trúc hài hòa và không gian yên bình, chùa là điểm đến tâm linh và du lịch hấp dẫn.",Miễn phí,"Quận Tây Hồ, Hà Nội","Thanh Niên, Yên Phụ, Tây Hồ, Hà Nội"
17,Chùa Một Cột,Chùa Một Cột có kiến trúc độc đáo với ngôi chùa nhỏ đặt trên cột đá giữa hồ sen. Đây là biểu tượng văn hóa và lịch sử của Hà Nội,Miễn phí,7:00 – 18:00,"Phố Chùa Một Cột, Ba Đình, Hà Nội"
18,Hồ Tây,"Hồ Tây là hồ nước lớn nhất Hà Nội, với khung cảnh thơ mộng và nhiều điểm tham quan xung quanh như chùa Trấn Quốc, phủ Tây Hồ.",Miễn phí,Tự do,"Quận Tây Hồ, Hà Nội"
19,Phủ Tây Hồ,"Phủ Tây Hồ là nơi thờ Mẫu Liễu Hạnh, một trong Tứ bất tử của tín ngưỡng dân gian Việt Nam. Nằm trên bán đảo giữa Hồ Tây, phủ là điểm đến tâm linh nổi tiếng.",Miễn phí,Tự do,"Đặng Thai Mai, Quảng An, Tây Hồ, Hà Nội"
20,Bảo tàng Dân tộc học Việt Nam,"Bảo tàng Dân tộc học Việt Nam là nơi lưu giữ và giới thiệu văn hóa của 54 dân tộc Việt Nam. Với hệ thống hiện vật phong phú, trình bày trực quan và sống động, bảo tàng giúp du khách hiểu rõ hơn về đời sống, phong tục tập quán và tín ngưỡng của các dân tộc. Ngoài trưng bày trong nhà, khuôn viên ngoài trời còn có các mô hình nhà sàn, nhà rông và nhiều kiến trúc dân gian độc đáo.",40.000 VND,8:30 – 17:30 (đóng cửa thứ Hai),"Đường Nguyễn Văn Huyên, Cầu Giấy, Hà Nội"
21,Bảo tàng Lịch sử Quốc gia,"Bảo tàng trưng bày hàng nghìn hiện vật từ thời nguyên thủy đến thời kỳ hiện đại, bao gồm các hiện vật quý như trống đồng Đông Sơn, tượng Phật, gốm sứ, v.v. Kiến trúc Pháp cổ kính kết hợp hài hòa với thiết kế Việt Nam tạo nên một không gian văn hóa sâu sắc.",40.000 VND,8:30 – 17:30 (đóng cửa thứ Hai),"1 Tràng Tiền, Hoàn Kiếm, Hà Nội"
22,Bảo tàng Mỹ thuật Việt Nam,"Là nơi trưng bày các tác phẩm hội họa, điêu khắc, sơn mài... của nhiều thế hệ họa sĩ nổi tiếng Việt Nam. Đây là một địa điểm thu hút những ai yêu thích nghệ thuật và muốn khám phá sự phát triển của mỹ thuật Việt Nam qua các thời kỳ.",40.000 VND,8:30 – 17:00 (thứ Ba – Chủ Nhật),"66 Nguyễn Thái Học, Ba Đình, Hà Nội"
23,Cầu Long Biên,"Cầu Long Biên là cây cầu thép cổ nhất Hà Nội, được người Pháp xây dựng từ đầu thế kỷ 20. Là biểu tượng lịch sử, nơi đây từng chứng kiến nhiều sự kiện quan trọng của dân tộc, đặc biệt là trong kháng chiến chống Pháp và chống Mỹ. Ngày nay, cầu là điểm check-in yêu thích của du khách và nhiếp ảnh gia.",Miễn Phí,Tự do,Nối quận Hoàn Kiếm với Long Biên
24,Làng gốm Bát Tràng,"Nằm bên sông Hồng, làng gốm Bát Tràng nổi tiếng với các sản phẩm gốm sứ truyền thống được làm thủ công tinh xảo. Đến đây, du khách có thể tham quan lò nung, trải nghiệm làm gốm và mua sắm nhiều sản phẩm độc đáo. Ngoài ra, chợ gốm Bát Tràng là nơi lý tưởng để khám phá văn hóa địa phương.",Miễn phí (có thể mất phí trải nghiệm: 30.000 – 50.000 VND),8:00 – 17:00,"Xã Bát Tràng, huyện Gia Lâm, Hà Nội"
25,Công viên Thủ Lệ (Thảo Cầm Viên Hà Nội),"Là công viên kết hợp vườn thú, Thủ Lệ là nơi lý tưởng cho các gia đình có trẻ nhỏ. Khuôn viên rộng rãi, xanh mát, có hồ nước, khu vui chơi và hơn 600 cá thể động vật, bao gồm cả những loài quý hiếm như hổ, voi, công...",10.000 – 20.000 VND,8:00 – 18:00,"Đường Bưởi, Ba Đình, Hà Nội"
26,Công viên Yên Sở,"Nằm ở phía Nam thành phố, Công viên Yên Sở có không gian xanh rộng lớn, hồ nước trong lành, phù hợp cho dã ngoại, cắm trại, đạp xe và các hoạt động ngoài trời. Đây là công viên lớn nhất Hà Nội, rất thích hợp cho các nhóm bạn trẻ vào cuối tuần.",Miễn Phí,6:00 – 18:00,"Hoàng Mai, Hà Nội"
27,Chợ Đồng Xuân,"Là chợ đầu mối lớn và lâu đời nhất ở Hà Nội, Chợ Đồng Xuân không chỉ là nơi buôn bán sầm uất mà còn là điểm đến du lịch văn hóa, nơi bạn có thể khám phá nhịp sống đô thị, mua sắm quần áo, vải vóc và đồ thủ công mỹ nghệ giá rẻ.",Miễn Phí,6:00 – 18:00,"Quận Hoàn Kiếm, Hà Nội"
28,Ga Long Biên & chợ đêm Phùng Hưng,"Khu vực xung quanh ga Long Biên vào buổi tối trở thành một điểm check-in độc đáo với các quán cà phê ven đường ray, dãy đèn lồng rực rỡ và không gian ẩm thực đường phố sôi động. Đây là điểm đến trẻ trung, mới lạ của giới trẻ Hà thành.",Miễn Phí,18:00 – 23:00,"Phùng Hưng, Hoàn Kiếm, Hà Nội"
29,Nhà tù Hỏa Lò,"Nhà tù Hỏa Lò là di tích lịch sử gắn liền với phong trào yêu nước và cách mạng trong thời kỳ Pháp thuộc. Tại đây, du khách sẽ được chứng kiến những hiện vật, hình ảnh, và không gian mô phỏng cuộc sống khắc nghiệt của các tù nhân chính trị – trong đó có nhiều chiến sĩ cách mạng nổi tiếng.",30.000 VND,6:00 – 17:00,"1 Hoả Lò, Hoàn Kiếm, Hà Nội"
30,Đền Ngọc Sơn,"Nằm trên đảo Ngọc giữa Hồ Hoàn Kiếm, đền Ngọc Sơn là một trong những biểu tượng văn hóa tâm linh của Thủ đô. Đền thờ các danh nhân văn hóa như Trần Hưng Đạo, Văn Xương Đế Quân. Du khách có thể đi qua cầu Thê Húc đỏ son để vào tham quan đền. Đền mang đậm kiến trúc truyền thống, hài hòa với thiên nhiên và là điểm đến không thể bỏ lỡ khi ghé Hồ Gươm.",30.000 VND,8:00 – 18:00,"Hồ Hoàn Kiếm, Quận Hoàn Kiếm, Hà Nội"
31,Tháp Rùa,"Tháp Rùa nằm giữa Hồ Gươm, là hình ảnh mang tính biểu tượng của Hà Nội. Dù không mở cửa cho khách vào tham quan bên trong, du khách vẫn có thể chiêm ngưỡng và chụp ảnh từ bên bờ. Tháp mang giá trị văn hóa, lịch sử và là nguồn cảm hứng cho nhiều tác phẩm nghệ thuật.",Miễn phí,Tự do,"Trung tâm Hồ Gươm, Hoàn Kiếm, Hà Nội"
32,Cầu Thê Húc,"Cầu Thê Húc là cây cầu gỗ sơn đỏ cong cong dẫn vào đền Ngọc Sơn. Cầu mang ý nghĩa ""đón ánh sáng ban mai"", là một phần quan trọng trong tổng thể kiến trúc của Hồ Gươm. Đây là nơi du khách thường dừng lại để chụp ảnh và cảm nhận nét đẹp thơ mộng của Hà Nội.",Đã bao gồm trong vé vào đền Ngọc Sơn,8:00 – 18:00,"Hồ Hoàn Kiếm, Hoàn Kiếm, Hà Nội"
33,Bảo tàng Phụ nữ Việt Nam,"Bảo tàng trưng bày các hiện vật, hình ảnh, câu chuyện về vai trò của phụ nữ Việt Nam trong lịch sử, gia đình, đời sống xã hội. Đây là một nơi giáo dục sâu sắc về bình đẳng giới, văn hóa truyền thống và lòng hy sinh của người phụ nữ Việt Nam qua các thời kỳ.",40.000 VND,8:00 – 17:00 (đóng cửa thứ Hai),"36 Lý Thường Kiệt, Hoàn Kiếm, Hà Nội"
34,Nhà thờ Lớn Hà Nội,"Được xây dựng từ thế kỷ 19 theo phong cách Gothic châu Âu, Nhà thờ Lớn Hà Nội là địa điểm tôn giáo và du lịch nổi tiếng. Với mặt tiền uy nghi và không gian yên tĩnh, nơi đây thường tổ chức các lễ thánh, đám cưới, cũng như là nơi check-in yêu thích của giới trẻ.",Miễn phí,8:00 – 17:00 (tránh giờ lễ),"40 Nhà Chung, Hoàn Kiếm, Hà Nội"
35,Bốt Hàng Đậu,"Bốt Hàng Đậu là một công trình kiến trúc cổ của Pháp từng là tháp chứa nước phục vụ cho khu phố cổ Hà Nội. Với hình tròn và vẻ ngoài cổ kính, nơi đây đã được cải tạo thành không gian văn hóa sáng tạo. Đây cũng là điểm đến nghệ thuật độc đáo, thu hút du khách yêu nhiếp ảnh.",Miễn phí,Tự do,"Quận Ba Đình, Hà Nội"
36,Chùa Quán Sứ,"Là trụ sở chính của Giáo hội Phật giáo Việt Nam, chùa Quán Sứ có kiến trúc cổ kính, không gian thanh tịnh. Đây là nơi thường xuyên diễn ra các sự kiện Phật giáo lớn và thu hút đông đảo Phật tử và du khách đến hành hương, cầu an.",Miễn phí,7:00 – 18:00,"73 Quán Sứ, Hoàn Kiếm, Hà Nội"
37,Làng lụa Vạn Phúc,"Nằm cách trung tâm Hà Nội khoảng 10km, làng lụa Vạn Phúc nổi tiếng với nghề dệt lụa truyền thống hơn 1.000 năm. Du khách đến đây có thể tận mắt chứng kiến quy trình làm lụa, tham quan các gian hàng trưng bày sản phẩm thủ công mỹ nghệ tinh xảo.",Miễn phí,8:00 – 17:00,"Vạn Phúc, Hà Đông, Hà Nội"
38,Vườn Bách Thảo Hà Nội,"Đây là công viên sinh thái lớn, nằm gần Lăng Bác, với hơn 300 loài thực vật phong phú. Không gian yên tĩnh, rợp bóng cây xanh, hồ nước trong lành – thích hợp cho đi bộ, picnic và chụp ảnh thiên nhiên.",10.000 – 20.000 VND,7:00 – 18:00,"3 Hoàng Hoa Thám, Ba Đình, Hà Nội"
39,Trung tâm Nghệ thuật Đương đại Vincom (VCCA),"Là một trong những không gian nghệ thuật hiện đại hàng đầu Việt Nam, VCCA thường xuyên tổ chức triển lãm, sắp đặt, hội thảo về nghệ thuật đương đại quốc tế. Thiết kế hiện đại, không gian mở giúp du khách cảm nhận rõ tinh thần sáng tạo.",Miễn phí,10:00 – 22:00,"Tầng B1 – R3, Royal City, Thanh Xuân, Hà Nội"
40,Trung tâm thương mại Lotte Center Hanoi (Đài quan sát tầng 65),"Nằm trên tầng 65 của tòa nhà Lotte Center – một trong những toà cao nhất Hà Nội – đài quan sát Sky Walk là nơi lý tưởng để ngắm toàn cảnh thủ đô từ trên cao. Tại đây còn có sàn kính cho trải nghiệm “bước đi giữa không trung”, thu hút rất nhiều bạn trẻ.","230.000 VND (người lớn), 170.000 VND (trẻ em)",9:00 – 23:00,"54 Liễu Giai, Ba Đình, Hà Nội"
41,Thung Lũng Tình Yêu,"Thung Lũng Tình Yêu là một trong những địa điểm du lịch lãng mạn nhất Đà Lạt. Với khung cảnh thơ mộng, rừng thông xanh mướt, hồ nước trong veo và các tiểu cảnh tình yêu được bài trí khéo léo, nơi đây là điểm đến lý tưởng cho các cặp đôi. Bạn có thể đi dạo, chụp ảnh, đi xe ngựa hoặc tham gia các trò chơi ngoài trời. Đây cũng là điểm chụp ảnh cưới nổi tiếng.",250.000 VND,7:00 – 17:00,"Số 7 Mai Anh Đào, P.8, TP. Đà Lạt"
42,Hồ Xuân Hương,"Hồ Xuân Hương là trái tim của Đà Lạt, nằm ngay trung tâm thành phố. Hồ có hình lưỡi liềm uốn lượn giữa rừng thông và hoa cỏ, tạo nên khung cảnh nên thơ. Du khách có thể đi dạo quanh hồ, thuê xe đạp đôi, đạp vịt trên hồ, hoặc thưởng thức cà phê bên hồ để tận hưởng không khí se lạnh đặc trưng của Đà Lạt.",Miễn phí,Tự do,"Phường 1, TP. Đà Lạt"
