ID,Name,Description,Price,Duration,Location
43,Vườn Hoa Thành Phố,"Vườn Hoa Thành Phố là thiên đường dành cho những người yêu hoa với hàng trăm loài hoa rực rỡ quanh năm. Khu vườn được thiết kế công phu với tiểu cảnh đẹp mắt, là địa điểm lý tưởng để chụp ảnh và thư giãn. Vào mùa lễ hội hoa Đà Lạt, nơi đây càng trở nên sôi động và thu hút đông đảo du khách.",70.000 VND,7:00 – 17:00,"Trần Quốc Toản, P.8, TP. Đà Lạt"
44,Thiền Viện Trúc Lâm,"Thiền Viện Trúc Lâm nằm trên núi Phụng Hoàng, là thiền viện lớn nhất của phái Trúc Lâm Yên Tử. Kiến trúc mang đậm chất Phật giáo với không gian thanh tịnh, yên bình. Du khách có thể đến đây để hành hương, thiền định, hoặc đơn giản là tận hưởng khung cảnh thiên nhiên tuyệt đẹp nhìn ra hồ Tuyền Lâm.",Miễn phí,7:00 – 17:00,"Phụng Hoàng, P.3, TP. Đà Lạt"
45,Đồi Chè Cầu Đất,"Đồi chè Cầu Đất là điểm du lịch sinh thái hấp dẫn cách trung tâm Đà Lạt khoảng 25 km. Những đồi chè xanh mướt trải dài bất tận tạo nên khung cảnh tuyệt đẹp như tranh vẽ. Đây là địa điểm chụp ảnh nổi tiếng với giới trẻ, đặc biệt vào sáng sớm khi sương còn bao phủ, ánh nắng dịu nhẹ xuyên qua lớp sương mờ.",30.000 VND,6:00 – 17:00,"Xuân Trường, TP. Đà Lạt"
46,Thác Prenn,"Thác Prenn nằm cách trung tâm Đà Lạt 10km, thác nước cao và rộng, xung quanh là rừng thông xanh mát. Du khách có thể đi bộ đường mòn hoặc cưỡi voi tham quan. Khu du lịch còn có các hoạt động vui chơi giải trí và khu vực ăn uống.",50.000 VND,7:00 – 18:00,"Phường 3, TP. Đà Lạt"
47,Làng Cù Lần,"Làng Cù Lần là khu du lịch sinh thái nằm giữa rừng thông, mang đậm nét văn hóa dân tộc thiểu số. Du khách có thể tham gia chèo thuyền, câu cá, cưỡi ngựa và khám phá văn hóa bản địa. Khu làng nổi bật với những ngôi nhà gỗ và cảnh quan hữu tình.",50.000 VND,7:00 – 17:00,"Lạc Dương, TP. Đà Lạt"
48,Ga Đà Lạt,"Ga Đà Lạt là nhà ga cổ kính, điểm du lịch văn hóa lịch sử với kiến trúc Pháp. Đây là điểm khởi hành của tuyến tàu leo núi tới Trại Mát, trải nghiệm tàu cổ với cảnh quan núi rừng.",30.000 VND,8:00 – 17:00,"Đường Quang Trung, TP. Đà Lạt"
49,Hồ Tuyền Lâm,"Hồ Tuyền Lâm là hồ nước rộng lớn nằm trong rừng thông xanh, thích hợp cho các hoạt động dã ngoại, câu cá, đạp vịt và thư giãn bên bờ hồ. Không gian yên tĩnh, trong lành, lý tưởng cho nghỉ dưỡng.",Miến phí,Tự do,"Phường 3, TP. Đà Lạt"
50,Đường Hầm Điêu Khắc,"Đường hầm nằm dưới lòng đồi Cù Lần với nhiều bức tượng điêu khắc đá độc đáo, thể hiện nét văn hóa và thiên nhiên Đà Lạt. Du khách có thể đi bộ, khám phá những tác phẩm nghệ thuật bằng đá và tìm hiểu lịch sử.",30.000 VND,8:00 – 17:00,"Làng Cù Lần, TP. Đà Lạt"
51,Vườn Dâu Tây Đà Lạt,"Các trang trại dâu tây ở Đà Lạt mở cửa cho du khách tham quan, hái dâu tươi trực tiếp tại vườn. Đây là trải nghiệm thú vị, đặc biệt dành cho gia đình và trẻ em.","Tự do, tùy trang trại",7:00 – 18:00,Các xã vùng ven TP. Đà Lạt
52,Thác Voi,"Thác Voi cao khoảng 30 mét, nằm ở ngoại ô Đà Lạt, quanh thác là khu rừng nguyên sinh với nhiều cây cổ thụ. Thác có cảnh đẹp hùng vĩ, thích hợp cho các hoạt động picnic, chụp ảnh và cắm trại.",20.000 VND,7:00 – 18:00,"Xã Lát, Lạc Dương, Đà Lạt"
53,Núi Langbiang,"Núi Langbiang là điểm cao nhất và nổi tiếng nhất Đà Lạt với khung cảnh hùng vĩ và lãng mạn. Du khách có thể leo núi, cưỡi jeep, hoặc đi bộ ngắm cảnh. Đỉnh núi là nơi ngắm hoàng hôn và bình minh tuyệt đẹp.",30.000 VND,7:00 – 17:00,"Lạc Dương, Đà Lạt"
54,Hồ Suối Vàng,"Hồ Suối Vàng nằm trong thung lũng yên bình, xung quanh là đồi thông xanh mướt và những dãy núi bao quanh tạo nên khung cảnh thơ mộng. Đây là điểm cắm trại, dã ngoại được nhiều du khách yêu thích.",Miễn phí,Tự do,"Xã Lát, Lạc Dương, Đà Lạt"
55,Chợ Đà Lạt,"Chợ Đà Lạt nằm ở trung tâm thành phố, nơi tập trung nhiều mặt hàng đặc sản địa phương, rau củ quả tươi, hoa, đồ lưu niệm và quần áo. Đây cũng là nơi du khách có thể thưởng thức các món ăn đặc sản như bánh tráng nướng, sữa đậu nành nóng.",Miễn phí vào chợ,6:00 – 19:00,"Đường Nguyễn Thị Minh Khai, TP. Đà Lạt"
56,Quảng Trường Lâm Viên,"Quảng trường Lâm Viên nằm ngay trung tâm, nổi bật với hai công trình kiến trúc đặc sắc: nụ hoa Atiso và bông hoa Dã Quỳ bằng kính cường lực. Nơi đây là địa điểm tổ chức các sự kiện văn hóa, lễ hội và là điểm check-in nổi tiếng.",Miễn phí,Tự do,"Phường 1, TP. Đà Lạt"
57,Dinh Bảo Đại,"Dinh Bảo Đại còn gọi là Dinh III, từng là nơi nghỉ dưỡng của vua Bảo Đại. Tòa dinh giữ nguyên kiến trúc Pháp cổ với nội thất sang trọng, có sân vườn rộng và view đẹp. Du khách có thể tìm hiểu lịch sử triều đại nhà Nguyễn tại đây.",30.000 VND,7:00 – 17:00,"Phường 4, TP. Đà Lạt"
58,Chùa Linh Phước,"Chùa Linh Phước hay còn gọi là chùa Ve Chai vì kiến trúc được trang trí bằng hàng triệu mảnh ve chai. Chùa có tượng Phật Quan Âm lớn, kiến trúc độc đáo và không gian yên tĩnh, thích hợp cho du khách muốn tìm hiểu văn hóa Phật giáo.",Miễn phí,6:00 – 18:00,"Phường 11, TP. Đà Lạt"
59,Hồ Đa Thiện,"Hồ Đa Thiện là hồ nước nhỏ trong xanh nằm gần trung tâm, được bao quanh bởi các rừng thông và hoa cỏ. Khu vực này yên bình, thích hợp cho các hoạt động thư giãn, picnic và chụp ảnh nghệ thuật.",Miễn phí,Tự do,"Phường 4, TP. Đà Lạt"
60,Núi Bà Nà Đà Lạt,"Núi Bà Nà Đà Lạt là điểm đến có cảnh quan thiên nhiên hoang sơ, với rừng nguyên sinh và nhiều loài động thực vật quý hiếm. Du khách có thể trekking, khám phá thiên nhiên và trải nghiệm không khí trong lành, mát mẻ.",Miễn phí,Tự do,"Lạc Dương, Đà Lạt"
61,Nhà Thờ Con Gà,"Nhà Thờ Chính Tòa Đà Lạt, hay còn gọi là Nhà Thờ Con Gà, là công trình kiến trúc cổ điển Pháp nổi bật giữa thành phố. Nhà thờ có tháp chuông cao và nhiều chi tiết trang trí tinh xảo, là điểm đến tâm linh và du lịch hấp dẫn.",Miễn phí,7:00 – 17:00,"Phường 3, TP. Đà Lạt"
62,Vườn Hồng Đà Lạt,"Chùa Tàu là ngôi chùa có kiến trúc Trung Hoa độc đáo, với các tượng Phật và tượng Thần Quan Âm lớn. Chùa có không gian thanh tịnh, được nhiều người đến viếng thăm và chiêm bái.","Tự do, tùy trang trại",7:00 – 18:00,Vùng ngoại ô Đà Lạt
63,Thác Cam Ly,"Thác Cam Ly là thác nước nhỏ nằm gần trung tâm thành phố, nước chảy róc rách qua nhiều bậc đá tạo nên cảnh quan đẹp mắt. Khu vực thác có cây xanh và không khí mát mẻ, thích hợp cho tham quan và nghỉ ngơi.",Miễn phí,Tự do,"Phường 3, TP. Đà Lạt"
64,Chùa Tàu (Thiên Vương Cổ Sát),"Chùa Tàu là ngôi chùa có kiến trúc Trung Hoa độc đáo, với các tượng Phật và tượng Thần Quan Âm lớn. Chùa có không gian thanh tịnh, được nhiều người đến viếng thăm và chiêm bái.",Miễn phí,7:00 – 17:00,"Phường 11, TP. Đà Lạt"
65,Đồi Mộng Mơ,"Đồi Mộng Mơ là khu du lịch sinh thái rộng lớn với nhiều tiểu cảnh thơ mộng, hồ nước và vườn hoa rực rỡ sắc màu quanh năm. Du khách có thể tham gia các trò chơi giải trí, thuê xe đạp đôi, chụp ảnh và thưởng thức không khí trong lành, lãng mạn. Đây cũng là điểm đến quen thuộc cho các cặp đôi và gia đình.",80.000 VND,7:00 – 18:00,"Phường 3, TP. Đà Lạt"
66,Làng Hoa Vạn Thành,"Làng Hoa Vạn Thành là khu vườn hoa nổi tiếng, nơi trồng nhiều loại hoa hồng, cẩm tú cầu, cát tường và nhiều loài hoa đẹp khác. Du khách có thể tham quan, chụp ảnh và mua hoa tươi về làm quà.",Miễn phí,7:00 – 17:00,"Đường Vạn Thành, TP. Đà Lạt"
67,Thác Datanla,"Thác Datanla là thác nước cao, chảy qua nhiều bậc đá tạo nên phong cảnh hùng vĩ. Khu du lịch có dịch vụ máng trượt khám phá thác, cầu treo, leo núi và các trò chơi mạo hiểm.",80.000VND,7:00 – 17:00,"Phường 3, TP. Đà Lạt"
68,Vườn Dâu Tây Thanh Thủy,"Đây là một trong những trang trại dâu tây lớn, cho phép du khách tham quan và tự tay hái dâu tươi ngon. Ngoài ra còn có các sản phẩm chế biến từ dâu tây như mứt và rượu.",20.000 VND (vào cổng),7:00 – 18:00,"Đường Nguyễn Văn Cừ, TP. Đà Lạt"
69,Hồ Than Thở,"Hồ Than Thở có khung cảnh lãng mạn với những cây thông cổ thụ bao quanh, nhiều truyền thuyết gắn liền với tình yêu đôi lứa. Du khách có thể đi thuyền, tản bộ và chụp ảnh trong không gian yên bình.",20.000 VND,7:00 – 17:00,"Phường 3, TP. Đà Lạt"
70,Nông Trại Cún Puppy Farm,"Nông trại Puppy Farm là điểm đến thú vị dành cho những người yêu thú cưng, đặc biệt là chó. Du khách có thể chơi đùa với các chú cún, tham quan khu vườn rộng và thưởng thức đồ uống tại quán cà phê.",50.000 VND,8:00 – 18:00,"Phường 7, TP. Đà Lạt"
71,Đồi Robin,"Đồi Robin là một ngọn đồi nhỏ, yên tĩnh, phù hợp cho các hoạt động dã ngoại và cắm trại. Từ đây, bạn có thể ngắm toàn cảnh thành phố Đà Lạt và núi rừng xung quanh.",Miến phí,Tự do,"Phường 7, TP. Đà Lạt"
72,Chợ Hàn,Chợ truyền thống nổi tiếng với đặc sản địa phương.,Miễn phí,06:00 - 18:00,"119 Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng"
73,Sky Bar 36,Quán bar cao nhất Đà Nẵng với view toàn cảnh thành phố.,Theo menu,18:00 - 02:00,"Tầng 36, Novotel Danang, 36 Bạch Đằng, Hải Châu"
74,Cung văn hóa thiếu nhi Đà Nẵng,Trung tâm văn hóa dành cho trẻ em với kiến trúc hiện đại.,Miễn phí,07:00 - 18:00,"2A Phan Đăng Lưu, Hòa Cường Bắc, Hải Châu, Đà Nẵng"
75,Công viên Biển Đông,Công viên ven biển nổi tiếng với hàng ngàn chim bồ câu.,Miễn phí,05:00 - 19:00,"Phạm Văn Đồng, quận Sơn Trà, Đà Nẵng"
76,Làng cổ Phong Nam,Làng cổ với kiến trúc truyền thống Việt Nam.,Miễn phí,06:00 - 18:00,"Xã Hòa Châu, huyện Hòa Vang, Đà Nẵng"
77,Làng Vân,"Làng chài cũ, nay thành điểm cắm trại và khám phá hoang sơ.",Miễn phí,Tự do,"Chân đèo Hải Vân, phường Hòa Hiệp Bắc, Đà Nẵng"
78,Hồ Hòa Trung,"Hồ nhân tạo giữa đồng cỏ, thích hợp cắm trại và dã ngoại.",Miễn phí,05:00 - 18:00,"Xã Hòa Liên, Hòa Vang, Đà Nẵng"
79,Suối Hoa,"Khu du lịch sinh thái với suối, vườn hoa và không gian xanh.",100.000 VND,08:00 - 17:00,"Thôn Phú Túc, xã Hòa Phú, Hòa Vang, Đà Nẵng"
80,Thác Hòa Phú Thành,Khu sinh thái với hoạt động trượt thác mạo hiểm và tắm suối.,250.000 VND,08:00 - 17:00,"QL14G, Hòa Phú, Hòa Vang, Đà Nẵng"
81,Helio Center,"Trung tâm giải trí trong nhà với khu ẩm thực, trò chơi và rạp phim.",Miễn phí vào cổng,10:00 - 22:00,"2/9, Hòa Cường Nam, Hải Châu, Đà Nẵng"
82,Bảo tàng 3D TrickEye,Bảo tàng tranh 3D với nhiều chủ đề hấp dẫn.,130.000 VND,08:00 - 20:00,"29 Trần Quốc Toản, Hải Châu, Đà Nẵng"
83,Bảo tàng Điêu khắc Chăm,Trưng bày hiện vật văn hóa Chăm Pa với kiến trúc Pháp cổ.,60.000 VND,07:30 - 17:00,"Số 2, đường 2 Tháng 9, Hải Châu, Đà Nẵng"
84,Cầu Tình Yêu,Cầu đi bộ lãng mạn với nhiều ổ khóa tình yêu.,Miễn phí,06:00 - 22:00,"Đường Trần Hưng Đạo, quận Sơn Trà, Đà Nẵng"
85,Cầu Trần Thị Lý,"Cầu dây văng hiện đại, nổi bật với hệ thống đèn LED vào ban đêm.",Miễn phí,05:00 - 23:00,"Đường 2 Tháng 9, Hải Châu, Đà Nẵng"
86,Cầu sông Hàn,"Cầu quay đầu tiên tại Việt Nam, quay vào ban đêm để tàu thuyền qua.",Miễn phí,Quay cầu: 23:00 - 23:30,"Hòa Ninh, huyện Hòa Vang, Đà Nẵng"
87,Cầu Rồng,"Cầu biểu tượng Đà Nẵng, có thể phun lửa và nước vào cuối tuần.",Miễn phí,"Tự do (19:00 phun lửa, nước T7-CN)","Số 29 đường Trần Quốc Toản, Hải Châu, Đà Nẵng"
88,Bãi biển Nam Ô,Bãi biển nổi tiếng với rạn san hô và làng chài truyền thống.,Miễn phí,05:00 - 18:00,"81 Hùng Vương, quận Hải Châu, Đà Nẵng"
89,Bãi biển Tiên Sa,"Bãi biển hoang sơ, nước trong, gần khu nghỉ dưỡng Tiên Sa.",Miễn phí,05:00 - 18:00,"Đường Trần Hưng Đạo, quận Sơn Trà, Đà Nẵng"
90,Bãi biển Non Nước,"Bãi biển yên bình, thích hợp nghỉ dưỡng và tắm biển.",Miễn phí,05:00 - 18:00,Ngũ Hành Sơn
91,Bãi biển Mỹ Khê,Bãi biển nổi tiếng với cát trắng mịn và nước biển trong xanh.,Miễn phí,04:30 - 19:00,"Đường Lê Duẩn – Trần Phú, quận Hải Châu, Đà Nẵng"
92,Đỉnh Bàn Cờ,Điểm cao nhất của bán đảo Sơn Trà với tầm nhìn toàn cảnh thành phố.,Miễn phí,06:00 - 18:00,"Phạm Văn Đồng giao Võ Văn Kiệt, quận Sơn Trà, Đà Nẵng"
93,Bán đảo Sơn Trà,"Khu bảo tồn thiên nhiên với rừng nguyên sinh, đỉnh Bàn Cờ và các bãi biển hoang sơ.",Miễn phí,06:00 - 18:00,"Thôn Nam Ô, phường Hòa Hiệp Bắc, quận Liên Chiểu, Đà Nẵng"
94,Chùa Linh Ứng (Sơn Trà),"Ngôi chùa nổi tiếng với tượng Phật Quan Âm cao 67m, hướng ra biển.",Miễn phí,06:00 - 18:00,"Đường Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng"
95,Ngũ Hành Sơn,"Quần thể 5 ngọn núi đá vôi với nhiều hang động, chùa chiền và làng đá mỹ nghệ Non Nước.",40.000 VND,07:00 - 17:30,"Trường Sa, phường Hòa Hải, quận Ngũ Hành Sơn, Đà Nẵng"
96,Công viên nước Mikazuki,"Công viên nước trong nhà và ngoài trời, mang phong cách Nhật Bản, phù hợp cho gia đình.",450.000 VND,09:00 - 18:00,"Xã Hòa Hiệp Nam, quận Liên Chiểu, Đà Nẵng"
97,Asia Park (Sun World Danang Wonders),"Công viên giải trí với nhiều trò chơi mạo hiểm, vòng quay Sun Wheel và khu ẩm thực đa dạng.",200.000 VND,15:00 - 22:00,"1 Phan Đăng Lưu, Hòa Cường Bắc, Hải Châu, Đà Nẵng"
98,Công viên suối khoáng nóng Núi Thần Tài,"Khu nghỉ dưỡng với suối khoáng nóng, tắm bùn, công viên nước và khu vui chơi cho trẻ em.",400.000 VND,08:00 - 18:00,"QL14G, xã Hòa Phú, huyện Hòa Vang, Đà Nẵng"
99,Cầu Vàng,"Cây cầu nổi tiếng với thiết kế hai bàn tay khổng lồ nâng đỡ, nằm trong khuôn viên Bà Nà Hills.",Bao gồm trong vé Bà Nà Hills,08:30 - 17:00,"QL14G, xã Hòa Phú, huyện Hòa Vang, Đà Nẵng"
100,Chợ Cồn,Thiên đường ẩm thực và mua sắm của người dân Đà Nẵng.,Miễn phí,06:00 - 18:00,"290 Hùng Vương, Vĩnh Trung, Thanh Khê, Đà Nẵng"
101,Sun World Bà Nà Hills	,"Khu du lịch nổi tiếng với kiến trúc châu Âu, cáp treo đạt kỷ lục, Cầu Vàng độc đáo.",850.000 VND,08:00 - 17:00,"Thôn An Sơn, xã Hòa Ninh, huyện Hòa Vang, Đà Nẵng"
102,Dinh Độc Lập,"Dinh thự lịch sử, nơi gắn liền với sự kiện 30/4/1975.",40.000 VND,07:30 - 17:00,"135 Nam Kỳ Khởi Nghĩa, Q.1"
103,Nhà thờ Đức Bà,Nhà thờ cổ mang kiến trúc Gothic Pháp đặc trưng.,Miễn phí,06:00 - 18:00,"01 Công xã Paris, Q.1"
104,Bưu điện Trung tâm Sài Gòn,Công trình kiến trúc Pháp nổi bật với mái vòm lớn.,Miễn phí,07:00 - 19:00,"02 Công xã Paris, Q.1"
105,Chợ Bến Thành,Chợ truyền thống nổi tiếng với đặc sản và quà lưu niệm.,Miễn phí,06:00 - 18:00,"Chợ Bến Thành, Q.1"
106,Phố đi bộ Nguyễn Huệ,Phố đi bộ sầm uất với nhiều hoạt động biểu diễn và quán cà phê.,Miễn phí,06:00 - 23:00,"Nguyễn Huệ, Q.1"
107,Bitexco Financial Tower,Tòa nhà cao tầng với đài quan sát Skydeck nhìn toàn thành phố.,200.000 VND (Skydeck),09:30 - 21:30,"2 Hải Triều, Q.1"
108,Đường sách Nguyễn Văn Bình,Không gian sách ngoài trời yên tĩnh giữa trung tâm thành phố.,Miễn phí,07:00 - 22:00,"Nguyễn Văn Bình, Q.1"
109,Bảo tàng Chứng tích Chiến tranh,"Bảo tàng về chiến tranh Việt Nam, trưng bày nhiều hiện vật lịch sử.",40.000 VND,07:30 - 18:00,"28 Võ Văn Tần, Q.3"
110,Bảo tàng TP.HCM,Nơi lưu giữ các di tích và lịch sử phát triển của TP.HCM.,30.000 VND,07:30 - 17:00,"65 Lý Tự Trọng, Q.1"
111,Bảo tàng Mỹ thuật,Trưng bày các tác phẩm nghệ thuật từ cổ điển đến hiện đại.,30.000 VND,08:00 - 17:00,"97A Phó Đức Chính, Q.1"
112,Thảo Cầm Viên,Vườn thú kết hợp công viên với nhiều loài động vật quý hiếm.,60.000 VND,07:00 - 18:00,"2 Nguyễn Bỉnh Khiêm, Q.1"
113,Công viên Tao Đàn,"Công viên lớn với nhiều cây xanh, chỗ tập thể dục và chơi cho trẻ em.",Miễn phí,05:00 - 21:00,"Trương Định, Q.1"
114,Công viên Lê Văn Tám,"Công viên cây xanh nằm gần trung tâm, yên tĩnh và sạch đẹp.",Miễn phí,05:00 - 21:00,"Lê Văn Tám, Q.1"
115,Cầu Ánh Sao,Cầu dành cho người đi bộ với hệ thống đèn LED đẹp vào ban đêm.,Miễn phí,18:00 - 23:00,"Khu đô thị Phú Mỹ Hưng, Q.7"
116,Hồ Bán Nguyệt,"Hồ nhân tạo có cảnh quan tuyệt đẹp, thường được chọn làm nơi check-in.",Miễn phí,06:00 - 18:00,"Hồ Bán Nguyệt, Q.7"
117,Khu đô thị Phú Mỹ Hưng,"Khu đô thị hiện đại, nhiều quán ăn, công viên, khu vui chơi.",Miễn phí,Cả ngày,"Phú Mỹ Hưng, Q.7"
118,Chùa Giác Lâm,"Ngôi chùa cổ nhất Sài Gòn, được xây từ năm 1744.",Miễn phí,06:00 - 20:00,"565 Lạc Long Quân, Q.Tân Bình"
119,Chùa Vĩnh Nghiêm,Ngôi chùa lớn mang phong cách Nhật Bản và Việt Nam.,Miễn phí,06:00 - 20:00,"339 Nam Kỳ Khởi Nghĩa, Q.3"
120,Nhà hát Thành phố,"Nhà hát cổ kính chuyên tổ chức biểu diễn nghệ thuật, ca nhạc.",Tùy chương trình,07:00 - 22:00,"07 Công Trường Lam Sơn, Q.1"
121,Rạp chiếu phim CGV VivoCity,Rạp chiếu phim hiện đại nằm trong trung tâm thương mại.,Theo vé phim,09:00 - 23:00,"1058 Nguyễn Văn Linh, Q.7"
122,Công viên nước Đầm Sen,Công viên nước với nhiều trò chơi trượt nước hấp dẫn.,150.000 VND,08:00 - 18:00,"03 Hòa Bình, Q.11"
123,Suối Tiên,Khu vui chơi giải trí kết hợp văn hóa và trò chơi cảm giác mạnh.,120.000 VND,08:00 - 17:00,"120 Xa Lộ Hà Nội, Q.9"
124,Snow Town Sài Gòn,"Khu vui chơi tuyết nhân tạo trong nhà, thích hợp cho trẻ em.",130.000 VND,09:00 - 21:00,"125 Đồng Văn Cống, Q.2"
125,Jump Arena Trampoline Park,Khu vui chơi bật nhún thể thao trong nhà dành cho mọi lứa tuổi.,150.000 VND,09:00 - 21:00,"63 Xa lộ Hà Nội, Q.2"
126,Khu du lịch Bình Quới,"Khu du lịch sinh thái với không gian làng quê, sông nước.",Miễn phí,07:00 - 18:00,"1147 Bình Quới, Q. Bình Thạnh"
127,Đảo Thạnh An,"Hòn đảo hoang sơ cách Sài Gòn khoảng 70km, yên tĩnh và mộc mạc.",Miễn phí,Cả ngày,"Cần Giờ, TP.HCM"
128,Hầm Thủ Thiêm,Đường hầm vượt sông Sài Gòn nối quận 1 và quận 2.,Miễn phí,Cả ngày,"Đường Mai Chí Thọ, Q.2"
129,Tòa nhà Landmark 81,"Tòa nhà cao nhất Việt Nam, có trung tâm thương mại và đài quan sát.",Tùy dịch vụ,09:30 - 22:00,"720A Điện Biên Phủ, Q.Bình Thạnh"
130,Takashimaya Saigon,Trung tâm thương mại cao cấp với nhiều thương hiệu quốc tế.,Miễn phí,09:30 - 22:00,"92-94 Nam Kỳ Khởi Nghĩa, Q.1"
131,Vincom Center Đồng Khởi,"TTTM nổi tiếng ngay trung tâm với nhiều hoạt động mua sắm và ẩm thực.",Miễn phí,09:30 - 22:00,"72 Lê Thánh Tôn, Q.1"